,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Survived
565,3,1,-0.4385718983222164,1.340131927606843,-0.4736736092984604,-0.1621689579829361,2,8,0
160,3,1,1.100515116484551,-0.47454519624983954,0.7676298785983874,-0.32425318983493084,2,8,0
553,3,1,-0.5924805998028931,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,8,0
860,3,1,0.8696520642635358,1.340131927606843,-0.4736736092984604,-0.36435544630444866,2,8,0
241,3,0,0.0,0.4327933656785018,-0.4736736092984604,-0.3363340021468808,1,8,1
559,3,0,0.48488031056184405,0.4327933656785018,-0.4736736092984604,-0.29807809649237277,2,8,0
387,2,0,0.48488031056184405,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,8,1
536,1,1,1.1774694672248893,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,2,1,0
698,1,1,1.4852868701862427,0.4327933656785018,0.7676298785983874,1.5841789061771412,0,2,0
99,2,1,0.3309716090811673,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,2,8,0
126,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,0
333,3,1,-1.0542067042449232,1.340131927606843,-0.4736736092984604,-0.2859972841804228,2,8,0
216,3,0,-0.20770884610120124,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,2,8,0
817,2,1,0.1001085568601522,0.4327933656785018,0.7676298785983874,0.09664633805084172,0,8,0
27,1,1,-0.8233436520239081,2.2474704895351842,2.0089333664952354,4.647001076532463,2,2,0
703,3,1,-0.361617547581878,-0.47454519624983954,-0.4736736092984604,-0.4925449457465493,1,8,0
485,3,0,0.0,2.2474704895351842,0.7676298785983874,-0.13565761536436197,2,8,0
511,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
433,3,1,-0.977252353504585,-0.47454519624983954,-0.4736736092984604,-0.5049620073345151,2,8,0
576,2,0,0.3309716090811673,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,8,1
87,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
580,2,0,-0.361617547581878,0.4327933656785018,0.7676298785983874,-0.04438103794142432,2,8,1
157,3,1,0.02315420611981384,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
279,3,0,0.40792595982150565,0.4327933656785018,0.7676298785983874,-0.24069423801061057,2,8,0
422,3,1,-0.05380014462052453,-0.47454519624983954,-0.4736736092984604,-0.4898609919445778,2,8,0
369,1,0,-0.4385718983222164,-0.47454519624983954,-0.4736736092984604,0.7469121684912956,0,1,1
776,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,5,0
712,1,1,1.4083325194459044,0.4327933656785018,-0.4736736092984604,0.39858208016340624,2,2,0
